tok,napetost,moč (brez),moč (silicij),moč (ščit),
43.0e-3,21.7,-20.4e-6,-39.0e-6,-40.5e-6,
58.2e-3,43.3,41.5e-6,-1.6e-6,,
71.1e-3,65.0,146.7e-6,56.2e-6,,
82.0e-3,85.9,0.281e-3,118.5e-6,,
92.1e-3,107.2,0.453e-3,0.200e-3,-33.8e-6,
100.7e-3,127.1,0.631e-3,0.280e-3,,
105.3e-3,138.1,0.741e-3,0.323e-3,,
109.8e-3,149.7,0.864e-3,0.385e-3,,
113.9e-3,160.2,0.977e-3,0.412e-3,-21.9e-6,
119.1e-3,174.4,1.155e-3,0.498e-3,,
123.4e-3,186.5,1.289e-3,0.537e-3,,
126.7e-3,195.7,1.402e-3,0.595e-3,,
131.2e-3,208.9,1.557e-3,0.642e-3,-10.7e-6,
135.5e-3,221.4,1.722e-3,0.695e-3,,
138.9e-3,232.5,1.864e-3,0.748e-3,,
143.7e-3,247.3,2.09e-3,0.815e-3,,
146.6e-3,257.0,2.21e-3,0.841e-3,,
149.9e-3,267.8,2.37e-3,0.901e-3,,
150.4e-3,269.4,2.40e-3,0.921e-3,4.5e-6,


