Record Length,Analog:140000
Sample Interval,CH:0.0000000010000
Vertical Units,CH1:V,,,
Vertical Scale,CH1:+2.000000E+00,,,
Vertical Offset,CH1:-6.720000E+00,,,
Horizontal Units,us,,,
Horizontal Scale,10.0000000000,,,
Model Number,SDS1104X-E,,,
Serial Number,SDSMMEBC4R1794,,,
Software Version,8.1.6.1.35R2,,,
Source,CH1
Second,Volt
-1.300000E-05,+1.440000E+00
-1.299900E-05,+1.440000E+00
-1.299800E-05,+1.440000E+00
-1.299700E-05,+1.440000E+00
-1.299600E-05,+1.440000E+00
-1.299500E-05,+1.440000E+00
-1.299400E-05,+1.440000E+00
-1.299300E-05,+1.440000E+00
-1.299200E-05,+1.440000E+00
-1.299100E-05,+1.440000E+00
-1.299000E-05,+1.520000E+00
-1.298900E-05,+1.520000E+00
-1.298800E-05,+1.520000E+00
-1.298700E-05,+1.520000E+00
-1.298600E-05,+1.520000E+00
-1.298500E-05,+1.520000E+00
-1.298400E-05,+1.440000E+00
-1.298300E-05,+1.440000E+00
-1.298200E-05,+1.440000E+00
-1.298100E-05,+1.520000E+00
-1.298000E-05,+1.520000E+00
-1.297900E-05,+1.440000E+00
-1.297800E-05,+1.440000E+00
-1.297700E-05,+1.440000E+00
-1.297600E-05,+1.440000E+00
-1.297500E-05,+1.440000E+00
-1.297400E-05,+1.440000E+00
-1.297300E-05,+1.520000E+00
-1.297200E-05,+1.520000E+00
-1.297100E-05,+1.520000E+00
-1.297000E-05,+1.520000E+00
-1.296900E-05,+1.520000E+00
-1.296800E-05,+1.520000E+00
-1.296700E-05,+1.520000E+00
-1.296600E-05,+1.520000E+00
-1.296500E-05,+1.520000E+00
-1.296400E-05,+1.520000E+00
-1.296300E-05,+1.520000E+00
-1.296200E-05,+1.520000E+00
-1.296100E-05,+1.520000E+00
-1.296000E-05,+1.520000E+00
-1.295900E-05,+1.520000E+00
-1.295800E-05,+1.520000E+00
-1.295700E-05,+1.520000E+00
-1.295600E-05,+1.440000E+00
-1.295500E-05,+1.440000E+00
-1.295400E-05,+1.440000E+00
-1.295300E-05,+1.440000E+00
-1.295200E-05,+1.440000E+00
-1.295100E-05,+1.440000E+00
-1.295000E-05,+1.520000E+00
-1.294900E-05,+1.520000E+00
-1.294800E-05,+1.520000E+00
-1.294700E-05,+1.520000E+00
-1.294600E-05,+1.520000E+00
-1.294500E-05,+1.520000E+00
-1.294400E-05,+1.520000E+00
-1.294300E-05,+1.520000E+00
-1.294200E-05,+1.520000E+00
-1.294100E-05,+1.520000E+00
-1.294000E-05,+1.520000E+00
-1.293900E-05,+1.520000E+00
-1.293800E-05,+1.440000E+00
-1.293700E-05,+1.440000E+00
-1.293600E-05,+1.440000E+00
-1.293500E-05,+1.440000E+00
-1.293400E-05,+1.440000E+00
-1.293300E-05,+1.440000E+00
-1.293200E-05,+1.440000E+00
-1.293100E-05,+1.440000E+00
-1.293000E-05,+1.440000E+00
-1.292900E-05,+1.520000E+00
-1.292800E-05,+1.520000E+00
-1.292700E-05,+1.520000E+00
-1.292600E-05,+1.520000E+00
-1.292500E-05,+1.440000E+00
-1.292400E-05,+1.440000E+00
-1.292300E-05,+1.520000E+00
-1.292200E-05,+1.440000E+00
-1.292100E-05,+1.440000E+00
-1.292000E-05,+1.440000E+00
-1.291900E-05,+1.440000E+00
-1.291800E-05,+1.440000E+00
-1.291700E-05,+1.440000E+00
-1.291600E-05,+1.520000E+00
-1.291500E-05,+1.520000E+00
-1.291400E-05,+1.520000E+00
